gene_id,disease_id,molecule_a,molecule_b,type_a,type_b,host_organism,positive_interaction
1,1,cdkn1a_human_gene,TP53,gene,protein,Homo sapiens mammary epithelium,1
2,1,TP53,cdkn1a_human_gene,protein,gene,In vitro,1
3,1,TP53,cdkn1a_human_gene,protein,gene,Homo sapiens,1
4,1,TP53,cdkn1a_human_gene,protein,gene,Homo sapiens,1
5,1,AR,klk3_human_gene,protein,gene,Homo sapiens prostate tissue,1
6,1,RELA,ikba_human_gene,protein,gene,In vitro,1
7,1,RELA,ikba_human_gene,protein,gene,Homo sapiens Jurkat T-cell leukemia cell,1
8,1,RELA,ikba_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
9,1,il8_human_gene,RELA,gene,protein,Homo sapiens Jurkat T-cell leukemia cell,1
10,1,il8_human_gene,RELA,gene,protein,Homo sapiens H4 neurogioma cell,1
11,1,il8_human_gene,RELA,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
12,1,GCM1,htra4_human_gene,protein,gene,In vitro,1
13,1,GCM1,htra4_human_gene,protein,gene,In vitro,1
14,1,GCM1,htra4_human_gene,protein,gene,In vitro,1
15,1,htra4_human_gene,GCM1,gene,protein,In vitro,1
16,1,htra4_human_gene,GCM1,gene,protein,In vitro,1
17,1,foxp3_human_gene,H4C16,gene,protein,Homo sapiens CD4+ T-cell,1
18,1,foxp3_human_gene,H4C16,gene,protein,Homo sapiens regulatory T-lymphocyte,1
19,1,foxp3_human_gene,H4C16,gene,protein,Homo sapiens CD4+ T-cell,1
20,1,foxp3_human_gene,H4C16,gene,protein,Homo sapiens Jurkat T-cell leukemia cell,1
21,1,HIF1A,vegfa_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
22,1,hoxa9_human_gene,KMT2A,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
23,1,hoxa9_human_gene,KMT2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
24,1,hoxa9_human_gene,KMT2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
25,1,mmp1_human_gene,JUN,gene,protein,In vitro,1
26,1,irf1_human_gene,STAT1,gene,protein,Homo sapiens CD4+ T-cell,1
27,1,irf1_human_gene,STAT1,gene,protein,In vitro,1
28,1,RELA,birc3_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
29,1,bim_human_gene,FOXO3,gene,protein,In vitro,1
30,1,htra4_human_gene,htra4_human_gene,gene,gene,In vitro,1
31,1,htra4_human_gene,htra4_human_gene,gene,gene,In vitro,1
32,1,PARP1,brca2_human_gene,protein,gene,In vitro,1
33,1,PARP1,brca2_human_gene,protein,gene,In vitro,1
34,1,PARP1,brca2_human_gene,protein,gene,In vitro,1
35,1,POU5F1,sox2_human_gene,protein,gene,Homo sapiens NCCIT germ cell line.,1
36,1,RFX5,dra_human_gene,protein,gene,In vitro,1
37,1,RFX5,dra_human_gene,protein,gene,In vitro,1
38,1,ccl2_human_gene,RELA,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
39,1,CREBBP,il8_human_gene,protein,gene,Homo sapiens H4 neurogioma cell,1
40,1,CREM,il2_human_gene,protein,gene,Homo sapiens CD4+ T-cell,1
41,1,foxp3_human_gene,KLF10,gene,protein,Homo sapiens Jurkat T-cell leukemia cell,1
42,1,HDAC1,il2_human_gene,protein,gene,Homo sapiens Jurkat T-cell leukemia cell,1
43,1,hoxa7_human_gene,KMT2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
44,1,il2_human_gene,CREM,gene,protein,Homo sapiens Jurkat T-cell leukemia cell,1
45,1,il2_human_gene,FOXP3,gene,protein,Homo sapiens CD4+ T-cell,1
46,1,il2_human_gene,NFATC2,gene,protein,Homo sapiens Jurkat T-cell leukemia cell,1
47,1,il2_human_gene,RELA,gene,protein,Homo sapiens Jurkat T-cell leukemia cell,1
48,1,il2_human_gene,RELA,gene,protein,Homo sapiens Jurkat T-cell leukemia cell,1
49,1,KLF10,foxp3_human_gene,protein,gene,Homo sapiens CD4+ T-cell,1
50,1,RELA,tnfa_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
51,1,tnfa_human_gene,RELA,gene,protein,Homo sapiens monocyte-derived dendritic cell,1
52,1,cd44_human_gene,TP53,gene,protein,Homo sapiens mammary epithelium,1
53,1,HMGA1,il2ra_human_gene,protein,gene,In vitro,1
54,1,il2ra_human_gene,HMGA1,gene,protein,Homo sapiens YT natural-killer-like cell,1
55,1,il2ra_human_gene,HMGA1,gene,protein,Homo sapiens YT natural-killer-like cell,1
56,1,il2ra_human_gene,STAT5A,gene,protein,In vitro,1
57,1,N,pgh2_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
58,1,N,pgh2_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
59,1,N,pgh2_human_gene,protein,gene,In vitro,1
60,1,N,pgh2_human_gene,protein,gene,In vitro,1
61,1,pgh2_human_gene,N,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
62,1,POU5F1,nanog_human_gene,protein,gene,Homo sapiens NCCIT germ cell line.,1
63,1,POU5F1,nanog_human_gene,protein,gene,In vitro,1
64,1,SP1,tf65_human_gene,protein,gene,In vitro,1
65,1,SP1,tf65_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
66,1,STAT5A,il2ra_human_gene,protein,gene,Homo sapiens YT natural-killer-like cell,1
67,1,tf65_human_gene,SP1,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
68,1,tf65_human_gene,ZBTB2,gene,protein,In vitro,1
69,1,TP53,cd44_human_gene,protein,gene,In vitro,1
70,1,ZBTB2,tf65_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
71,1,foxp3_human_gene,STAT1,gene,protein,Homo sapiens CD4+ T-cell,1
72,1,RELA,bcl10_human_gene,protein,gene,In vitro,1
73,1,STAT1,foxp3_human_gene,protein,gene,In vitro,1
74,1,andr_human_gene,FOXO3,gene,protein,In vitro,1
75,1,anf_rat_gene,CAMTA2,gene,protein,Rattus norvegicus heart,1
76,1,anf_rat_gene,CAMTA2,gene,protein,Chlorocebus aethiops COS-1 cells,1
77,1,anf_rat_gene,CAMTA2,gene,protein,In vitro,1
78,1,cdkn1b_human_gene,FOXO3,gene,protein,In vitro,1
