interaction_id,disease_id,molecule_a,molecule_b,identifier_a,identifier_b,species_a,species_b,host_organism,positive_interaction,detection_method,interaction_type,confidence_value
1,1,SNCA,SNCA,UniProtP37840,UniProtP37840,Homo sapiens,Homo sapiens,Homo sapiens brain,1,3d-em-helical,direct interaction,0.99
2,1,APP,APBB1,UniProtP05067,UniProtO00213,Homo sapiens,Homo sapiens,Homo sapiens hippocampus,1,anti bait coip,association,0.88
3,1,APP,APBB1,UniProtP05067,UniProtO00213,Homo sapiens,Homo sapiens,Homo sapiens hippocampus,1,anti bait coip,association,0.88
4,1,MAPT,HSP90AB1,UniProtP10636-8,UniProtP08238,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.88
5,1,MAPT,HSP90AB1,UniProtP10636-8,UniProtP08238,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.88
6,1,SFPQ,NONO,UniProtP23246,UniProtQ15233,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,pla,proximity,0.74
7,1,SORL1,GGA1,UniProtQ92673,UniProtQ9UJY5,Homo sapiens,Homo sapiens,Mouse neuroblastoma cells,1,anti tag coip,physical association,0.74
8,1,SORL1,GGA1,UniProtQ92673,UniProtQ9UJY5,Homo sapiens,Homo sapiens,Mouse neuroblastoma cells,1,anti tag coip,physical association,0.74
9,1,APP,SORL1,UniProtP05067-4,UniProtQ92673,Homo sapiens,Homo sapiens,Mouse neuroblastoma cells,1,fret,proximity,0.73
10,1,MAPT,APP,UniProtP10636,UniProtP05067,Homo sapiens,Homo sapiens,Homo sapiens hippocampus,1,confocal microscopy,colocalization,0.73
11,1,MAPT,APP,UniProtP10636,UniProtP05067,Homo sapiens,Homo sapiens,Homo sapiens brain,1,elisa,direct interaction,0.73
12,1,SORL1,APP,UniProtQ92673,UniProtP05067-4,Homo sapiens,Homo sapiens,Mouse neuroblastoma cells,1,fret,proximity,0.73
13,1,MAPT,ANXA2,UniProtP10636-8,UniProtP07355,Homo sapiens,Homo sapiens,Homo sapiens SK-N-BE(2) neuroblastoma cell,1,tap,association,0.72
14,1,MAPT,DDX6,UniProtP10636-8,UniProtP26196,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.72
15,1,MAPT,DDX6,UniProtP10636-8,UniProtP26196,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.72
16,1,C9orf72,RB1CC1,UniProtQ96LT7-1,UniProtQ8TDY2,Homo sapiens,Homo sapiens,Homo sapiens motor neuron,1,anti tag coip,association,0.71
17,1,MAPT,P4HB,UniProtP10636-8,UniProtP07237,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.71
18,1,MAPT,PSMD2,UniProtP10636-8,UniProtQ13200,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.71
19,1,MAPT,PSMD2,UniProtP10636-8,UniProtQ13200,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti tag coip,association,0.71
20,1,MAPT,PSMD2,UniProtP10636-8,UniProtQ13200,Homo sapiens,Homo sapiens,Homo sapiens brain cortex,1,anti bait coip,association,0.71
21,1,APP,TGFB2,UniProtP05067,UniProtP61812,Homo sapiens,Homo sapiens,Homo sapiens 308 cystic glioblastoma cell,1,competition binding,association,0.7
22,1,APP,UCHL1,UniProtP05067,UniProtP09936,Homo sapiens,Homo sapiens,Homo sapiens hippocampus,1,anti bait coip,association,0.7
23,1,ATXN1,SKP1,UniProtP54253,UniProtP63208,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti bait coip,association,0.7
24,1,ATXN1,TBL1XR1,UniProtP54253,UniProtQ9BZK7,Homo sapiens,Homo sapiens,Homo sapiens SH-SY5Y cell,1,anti bait coip,association,0.7
25,1,CHRNA7,P05067-PRO_0000000092,UniProtP36544,UniProtP05067-PRO_0000000092,Homo sapiens,Homo sapiens,Homo sapiens hippocampus,1,anti bait coip,physical association,0.7
