interactor_id,disease_id,accession,name,preferred_id,type,species,description
1,1,EBI-302641,APP,UniProtP05067-4,protein,Homo sapiens,Amyloid-beta precursor protein
2,1,EBI-2432975,Pin1,UniProtQ9QUR7,protein,Mus musculus,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1
3,1,EBI-366182,MAPT,UniProtP10636,protein,Homo sapiens,Microtubule-associated protein tau
4,1,EBI-11423693,TMEFF2,UniProtQ9UIK5,protein,Homo sapiens,Tomoregulin-2
5,1,EBI-21194778,P05067-PRO_0000000088,UniProtP05067-PRO_0000000088,protein,Homo sapiens,Amyloid-beta precursor protein
6,1,EBI-21194918,P05067-PRO_0000000090,UniProtP05067-PRO_0000000090,protein,Homo sapiens,Soluble APP-beta
7,1,EBI-2431589,P05067-PRO_0000000093,UniProtP05067-PRO_0000000093,protein,Homo sapiens,Amyloid-beta protein 40
8,1,EBI-16693635,C9orf72,UniProtQ96LT7-1,protein,Homo sapiens,Guanine nucleotide exchange factor C9orf72
9,1,EBI-2961718,SMCR8,UniProtQ8TEV9,protein,Homo sapiens,Guanine nucleotide exchange protein SMCR8
10,1,EBI-2819137,WDR41,UniProtQ9HAD4,protein,Homo sapiens,WD repeat-containing protein 41
11,1,EBI-1047793,RB1CC1,UniProtQ8TDY2,protein,Homo sapiens,RB1-inducible coiled-coil protein 1
12,1,EBI-908831,ULK1,UniProtO75385,protein,Homo sapiens,Serine/threonine-protein kinase ULK1
13,1,EBI-2798775,ATG13,UniProtO75143,protein,Homo sapiens,Autophagy-related protein 13
14,1,EBI-351394,DBN1,UniProtQ16643,protein,Homo sapiens,Drebrin
15,1,EBI-696162,PTEN,UniProtP60484,protein,Homo sapiens,Phosphatidylinositol 3;4;5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN
16,1,EBI-779581,TGFB2,UniProtP61812,protein,Homo sapiens,Transforming growth factor beta-2 proprotein
17,1,EBI-77613,APP,UniProtP05067,protein,Homo sapiens,Amyloid-beta precursor protein
18,1,EBI-779636,TGFB1,UniProtP01137,protein,Homo sapiens,Transforming growth factor beta-1 proprotein
19,1,EBI-525108,Myd88,UniProtP22366,protein,Mus musculus,Myeloid differentiation primary response protein MyD88
